76,"6050","LOGIST_1C","Оренбург","00:00:00","",\N
77,"6057","LOGIST_1C","Стерлитамак","00:00:00","",\N
78,"6350","LOGIST_1C","Сургут","00:00:00","",\N
79,"6300","LOGIST_1C","Тюмень","00:00:00","",\N
80,"6304","LOGIST_1C","Тюмень-Ишим","00:00:00","",\N
81,"6302","LOGIST_1C","Тюмень-Талица","00:00:00","",\N
82,"6303","LOGIST_1C","Тюмень-Тобольск","00:00:00","",\N
83,"0880","LOGIST_1C","Энергия+2000","00:00:00","",\N
84,"i250","LOGIST_1C","2- ой Иркутск","00:00:00","",\N
85,"i350","LOGIST_1C","Александровский тракт","00:00:00","",\N
86,"i400","LOGIST_1C","Ангарск","00:00:00","",\N
87,"i850","LOGIST_1C","Братск - Вихоревка","00:00:00","",\N
88,"i750","LOGIST_1C","Братск - Падун","00:00:00","",\N
89,"i700","LOGIST_1C","Братск - Центральный","00:00:00","",\N
90,"i800","LOGIST_1C","Братск Правый берег","00:00:00","",\N
91,"i810","LOGIST_1C","Братск Энергетик","00:00:00","",\N
92,"i050","LOGIST_1C","Иркутск - Октябрьский","00:00:00","",\N
93,"i100","LOGIST_1C","Иркутск - Центр","00:00:00","",\N
94,"i300","LOGIST_1C","Иркутск Ленинский","00:00:00","",\N
95,"i150","LOGIST_1C","Иркутск Свердловский - Плотина","00:00:00","",\N
96,"i200","LOGIST_1C","Иркутск Свердловский - Синюшка","00:00:00","",\N
97,"i110","LOGIST_1C","Самовывоз","00:00:00","",\N
98,"i600","LOGIST_1C","Саянск - Зима","00:00:00","",\N
99,"i450","LOGIST_1C","Слюдянка","00:00:00","",\N
100,"i660","LOGIST_1C","ТК Ночной Экпресс","00:00:00","",\N
101,"i650","LOGIST_1C","ТК Энергия","00:00:00","",\N
102,"i620","LOGIST_1C","Тулун","00:00:00","",\N
103,"i950","LOGIST_1C","Улан-Удэ","00:00:00","",\N
104,"i560","LOGIST_1C","Усолье-Сибирское","00:00:00","",\N
105,"i550","LOGIST_1C","Черемхово - Свирск","00:00:00","",\N
106,"i900","LOGIST_1C","Чита","00:00:00","",\N
107,"i500","LOGIST_1C","Шелехов","00:00:00","",\N
108,"0177","LOGIST_1C","Доставка в офис ДРУЖБА","00:00:00","",\N
109,"ДТ30","LOGIST_1C","Доставка до торгового (ДО МЕНЯ)","00:00:00","",\N
110,"Мв70","LOGIST_1C","Москва - Восток","00:00:00","",\N
111,"Мз70","LOGIST_1C","Москва - Запад","00:00:00","",\N
112,"Мс70","LOGIST_1C","Москва - Север","00:00:00","",\N
113,"Мц70","LOGIST_1C","Москва - Центр","00:00:00","",\N
114,"Мю70","LOGIST_1C","Москва - Юг","00:00:00","",\N
115,"0077","LOGIST_1C","Самовывоз/Доставка ТП МОСКВА (из Красноармейска)","00:00:00","",\N
116,"Ба30","LOGIST_1C","Балашиха","00:00:00","",\N
117,"5021","LOGIST_1C","Восток","00:00:00","",\N
118,"Лю30","LOGIST_1C","Люберцы","00:00:00","",\N
119,"Но30","LOGIST_1C","Ногинск","00:00:00","",\N
120,"Ра30","LOGIST_1C","Раменское","00:00:00","",\N
121,"Ще30","LOGIST_1C","Щелково","00:00:00","",\N
122,"Эг50","LOGIST_1C","Электрогорск","00:00:00","",\N
123,"Эл30","LOGIST_1C","Электросталь","00:00:00","",\N
124,"5061","LOGIST_1C","Дмитровка","00:00:00","",\N
125,"Дм30","LOGIST_1C","Дмитровка, Лобня","00:00:00","",\N
126,"Дп30","LOGIST_1C","Долгопрудный","00:00:00","",\N
127,"5031","LOGIST_1C","Домодедово","00:00:00","",\N
128,"До30","LOGIST_1C","Домодедово1","00:00:00","",\N
129,"Де30","LOGIST_1C","Дедовск","00:00:00","",\N
130,"Зе30","LOGIST_1C","Зеленоград","00:00:00","",\N
131,"5051","LOGIST_1C","Истра","00:00:00","",\N
132,"Ис30","LOGIST_1C","Истра, Красногорск","00:00:00","",\N
133,"Сг30","LOGIST_1C","Солнечногорск","00:00:00","",\N
134,"5041","LOGIST_1C","Можайск","00:00:00","",\N
135,"Мо30","LOGIST_1C","Можайск1","00:00:00","",\N
136,"5011","LOGIST_1C","Ярославка","00:00:00","",\N
137,"Яа30","LOGIST_1C","Ярославка1","00:00:00","",\N
138,"Яд59","LOGIST_1C","Балашиха1","00:00:00","",\N
139,"Яд73","LOGIST_1C","1","00:00:00","",\N
140,"Б210","LOGIST_1C","_Брянск - Белорусское","00:00:00","",\N
141,"Б215","LOGIST_1C","_Брянск - Белорусское (Город)","00:00:00","",\N
142,"Б230","LOGIST_1C","_Брянск - Киевское","00:00:00","",\N
143,"Б240","LOGIST_1C","_Брянск - Смоленское","00:00:00","",\N
144,"Б220","LOGIST_1C","_Брянск - Стародубское","00:00:00","",\N
145,"Б120","LOGIST_1C","Брянск - Бежицкий","00:00:00","",\N
146,"Б140","LOGIST_1C","Брянск - Володарский","00:00:00","",\N
147,"Б270","LOGIST_1C","Брянск - Десногорское","00:00:00","",\N
148,"Б280","LOGIST_1C","Брянск - Жиздринское","00:00:00","",\N
149,"Б150","LOGIST_1C","Брянск - Карачевский","00:00:00","",\N
150,"Б250","LOGIST_1C","Брянск - Людиновское","00:00:00","",\N
151,"Б260","LOGIST_1C","Брянск - Рославльское","00:00:00","",\N
152,"Б110","LOGIST_1C","Брянск - Советский","00:00:00","",\N
153,"Б160","LOGIST_1C","Брянск - Суземское","00:00:00","",\N
154,"Б170","LOGIST_1C","Брянск - Урицкое","00:00:00","",\N
155,"Б130","LOGIST_1C","Брянск - Фокинский","00:00:00","",\N
156,"Б101","LOGIST_1C","Брянск общий 1","00:00:00","",\N
157,"В250","LOGIST_1C","Александров","00:00:00","",\N
